ITEMID;CATEGORY1;CATEGORY1_ID;CATEGORY2;CATEGORY2_ID;CATEGORY3;CATEGORY3_ID;CATEGORY4;CATEGORY4_ID;BRAND;ITEMCODE;ITEMNAME
12299;Tea-Coffee-Sugar;31283014;Non-Carbonated Drink;13-702343101;Tea;27-312899;Teapot;40-65612960;LIPTON;5636;LIPTON LEG BAG 500 GR *16*
12300;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Hair Conditioners;32-101606175;DOVE;5637;DOVE LOOK. KRM 400 ML LOOK FEEDER. *18*
12301;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Powder;132-92652375;FLORMAR;5644;FLORMAR PRETTY POWDER 191
12302;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Nail Polish;142-90242493;AVIEN;5647;A.AVIEN NAIL POLISH 245
12303;Baby;262614;Baby Supplies;12-424424;Baby Care;22-2626;Baby Shampoos;32-41666123;DALIN;5650;DALIN NEWBORN SET OF 3
12304;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Nail Polish;142-90242493;AVIEN;5651;A.AVIEN NAIL POLISH 277
12305;Cosmetics;141829166;Hair Care;22-1012338166;Hair Dyes;69-222199;Mini Paints;147-6042375;VOILA;5656;VOILA NANO HAIR DYE 5/53
12306;Paper;14181224;Wet Wipes-Towels;19-291013123;Wet Towel;49-1222151;White;105-4994323;DALIN;5661;DALIN POCKET HANDKERCHIEF 3 AL 2 ODE *12*
12307;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Snack Bowls;73-38436024;PASA BAHCE;5662;P.BA. ARGOS SMALL BOWL WITH LID
12308;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Snack Bowls;73-38436024;GURALLAR;5663;GURALLAR TRU 248 TROJAN GLASS BOWL
12309;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Snack Bowls;73-38436024;GURALLAR;5664;GÜRALLAR MASTER 264 CAP. GLASS BOWL
12310;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Glass Coasters;73-38233131;GURAL;5665;GÜRAL 20020 6 PCS OPT. TEA PLATE
12311;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Tea Set;73-383816660;GURAL;5666;GÜRAL SPRING S1 TEA SET 12 PRC
12312;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Bowl;73-601012423;GURAL;5667;GÜRAL ALN260 6 PCS BOWL
12313;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Cheeses;59-2062817;Tulum Cheeses;121-97612429;ICIM;5668;İçim TULUM CHEESE IZMIR 250 GR
12314;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Milk;59-22252499;Fruity;122-61992429;ICIM;5669;ICIM FAN MILK 200 ML CHOCOLATE *6*
12315;Baby;262614;Ready Meal-Baby Food;12-56234329;Ready Kids Meals;24-1012912;Baby Food;37-56752331;HERO;5670;HERO BABY 1/5 PROFIT. MEI. POR. BANANA*27*
12316;Baby;262614;Ready Meal-Baby Food;12-56234329;Ready Kids Meals;24-1012912;Baby Food;37-56752331;HERO;5671;HERO BABY 1/5 100% APPLE JUICE *27*
12317;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5672;SINDY SYLLABUS LABEL
12318;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5673;SHARP NOTEPAD POCKET
12319;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Other Plates;73-65702360;GLASSCO;5675;GLASSCO 20370 HAMBURG CAKE PLATE
12320;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Plate;73-9746023;GLASSCO;5676;GLASSCO LUMINARC BOAT PLATE
12321;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Glass;32-4752360;GLASSCO;5677;GLASSCO LUMINARC LEMONADE GLASS 26 CL
12322;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Glass;32-4752360;GLASSCO;5678;GLASSCO COFFEE I.E. CUP 6 HK.
12323;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5679;KIRTA. MONOGOL FULUT
12324;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5680;KIRTA. MEGAPOL WATERCOLOR 8.R.
12325;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5681;SCHOOL BAG 15244
12326;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5682;BAKUGAN PENCIL
12327;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5683;32839 ROARY FLASK
12328;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;BIOBLAS;5684;BIOBLAS SAMP. 360 ML OIL. KARS.*24*
12329;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;BIOBLAS;5685;BIOBLAS SAMP. 360 ML RESTORATIVE CARE*6*
12330;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;RESTOREX;5686;RESTOREX SAMP. THIN WIRE. OILY. 600ML *18*
12331;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5688;MONSTER CAR ARABA
12332;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5689;M700 MICRO VERSATILE PEN
12333;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5690;MICRO
12334;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5696;SIM 7+4 330 YP BOOKMARK NOTEBOOK PP COVER
12335;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5697;KETTE TEA SET
12336;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5698;TOY UNBREAKABLE MINI CARS
12337;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5699;TOY SWORD SHIELD ARROW
12338;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5700;DOLL WORMWOOD DOLL
12339;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5701;TOY NAZLI DOLL
12340;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5702;JASMINE ACCESSORY BRIDE BBEK
12341;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Cling Film;73-1017538100;TOFITA;5704;TO-FI-TA 1807 STRETCH FILM 10M *24*
12342;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Cling Film;73-1017538100;TOFITA;5705;TO-FI-TA 1808 STRETCH FILM 15M *24*
12343;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5706;CHUBBY GIANT TRUCK
12344;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5707;GEZER FATMA GIRLS KETTEN FILET SHOES*12 -1517.00.0
12345;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5708;TRAVELING MEN'S SLIPPERS 1826.00
12346;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5709;GEZER GIRL FILET SLIPPERS 7736.00
12347;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5710;TRAVELING MEN'S BOOTIES SLIPPERS 7744.00
12348;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5711;GEZER EVA MERDANEGT5YME.07796.00
12349;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5712;GEZER 7798 P.ARASI EVA ROLLER *12*
12350;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5713;GEZER P.ARASI EVA ZENNEGT5YZE.07837.00
12351;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5714;GEZER 7848 EVA FILLET *12*
12352;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5715;GEZER 2 BUCKLE HAC ZENNEGT1YZM.04088.00
12353;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ready Meals;44-101286;Mixed Canned Food;89-971129024;TAT;21562;TAT KON. ROUND 820 G *12*
12354;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ready Meals;44-101286;Vegetable-Meat Ready Meal;89-101245431;TAT;21563;TAT KIDNEY BEAN STEW 190 GR *12*
12355;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ready Meals;44-101286;Vegetable-Meat Ready Meal;89-101245431;TAT;21564;TAT H.Y.STUFFED GRAPE LEAVES 190 GR *24*
12356;Hot Beverages;22123114;Non-Carbonated Drink;13-702343101;Functional Drink;27-7181714;Tomato Juice;168-659716699;TAT;21565;TAT TOMATO JUICE 395 GR *24*
12357;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;21566;ALGIDA C.DOR PATS.900 ML BOILER BOTTOM*4*
12358;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos with Cream;139-603110192;DOVE;21567;DOVE 600 ML 2 IN 1 KEP. SNOW. TRP*16*
12359;Food;8125199;Soup-Bouillon;18-3890754;Soups;42-318212;Instant Soup;86-56759023;KNORR;21568;KNORR QUICK SOUP KR. MUSHROOMS*144*
12360;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;CLEAR;21569;CLEAR MEN 700 ML QUICK STYLE *16*
12361;Detergent;5624621;Laundry Washing;14-38236123;Liquid Stain Remover;30-2215312;Liquid;43-1011172929;DOMESTOS;21570;DOMESTOS ULT. STAIN EX.2 LT COLORFUL*9*
12362;Tea-Coffee-Sugar;31283014;Non-Carbonated Drink;13-702343101;Tea;27-312899;Herbal;40-4972924;LIPTON;21571;LIPTON-PLUM CINNAMON 20 PCS 40 GR *12*
12363;Cleaning;246161229;Household Cleaners;15-2411716697;Kitchen & Bathroom Cleaner;32-1625247;Cream;54-60246175;CIF;21572;CIF POWER CREAM BATH ACTIVE 750 ML. *12*
12364;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;21573;ALGIDA MAGNUM 110 ML DOUB. SNOW.
12365;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Hair Conditioners;32-101606175;ELIDOR;21574;ELIDOR SKLD. FOAM 150 ML HARK. BUK*12*
12366;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Hair Conditioners;32-101606175;ELIDOR;21575;ELIDOR SKLD.. 24/7 ONR. BAK 300 ML*12*
12367;Food;8125199;Soup-Bouillon;18-3890754;Soups;42-318212;Instant Soup;86-56759023;KNORR;21576;KNORR LOCAL NESTING COR. *48*
12368;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Ketchups;90-60972331;CALVE;21577;CALVE KETCHUP 520 GR+MAYONNAISE 455 GR *8*
12369;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Ketchups;90-60972331;CALVE;21578;CALVE KETCHUP AKB.830 GR ACB *16*
12370;Food;8125199;Soup-Bouillon;18-3890754;Soups;42-318212;Instant Soup;86-56759023;KNORR;21579;KNORR COR. HARP. SEHR. LENTILS *144*
12371;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;21580;ALGIDA TWIS.80 GR PO-CI-KA*20*
12372;Detergent;5624621;Laundry Washing;14-38236123;Fabric Softeners;30-312825;Classic;44-60232960;YUMOS;21581;YUMOS YUM. 1 LT
12373;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21585;TOY KT. DINOSAUR ILLUMINATED PIANO
12374;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21586;TOY KT. LION BATTERY PIANO
12375;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21587;PENCIL HOLDER POP HOT 9536-9336
12376;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21590;TOY BATTERY LIGHT SWORD
12377;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Grater;73-75272465;PENGUEN;21593;PENGUIN MINI GRATER
12378;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21594;TOY CAR WITH BATTERY
12379;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21597;MARLA OFFICE SET
12380;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21600;TOY SOCCER
12381;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21601;AIHAO AH 2031 BALLPOINT PINK
12382;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21602;AIHAO AH 2031 BALLPOINT BLUE
12383;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21603;AIHAO 66011STRIP CORE DRIVE
12384;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21604;PRICE TAG MACHINE
12385;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Brushes;133-100752323;BANAT;21606;BANAT D.FIR. ACROBAT *12*
12386;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Brushes;133-100752323;BANAT;21607;BANAT D.FIR. BLACK SOFT SOFT *12*
12387;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Brushes;133-100752323;BANAT;21608;BANAT D.FIR. PERFECT 1+1 *12*
12388;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Brushes;133-100752323;BANAT;21609;BANAT D.FIR.4 ETKI 2 PCS *144*
12389;Cleaning;246161229;Household Items;15-2411716670;Plastic Household Items;86-6279920;Plastic;73-92239760;BANAT;21610;BANATE HANDLE BROOM
12390;Cleaning;246161229;House Cleaning Supplies;15-241177024;Cleaning Cloths & Sets;87-246221;Cloth/Diaper;191-4434324;BANAT;21611;BANAT MICROFIBER TEM. DIAPER 5 PCS *48*
12391;Cleaning;246161229;House Cleaning Supplies;15-241177024;Cleaning Cloths & Sets;87-246221;Complete Sets;191-603110131;BANAT;21612;BANAT MOPPI FUNCTIONAL TEM. SET *1*
12392;Cleaning;246161229;Dishwashing Tools;15-41123123;Dishwashing Sponges;85-225151;Sponges;185-101272431;BANAT;21614;BANAT BUL. SUN. CORRUGATED 3 AL 2 ODE*40*
12393;Seafood;56171229;Fish;11-4233129;Tuna;21-24181799;Canned Food;31-602724117;DARDANEL;21615;DARD. TON 3X80 GR HA. HONEY. YI. *16*
12394;Seafood;56171229;Fish;11-4233129;Tuna;21-24181799;Canned Food;31-602724117;DARDANEL;21616;DARD. TON 2X160 GR HA. HONEY. YI *12*
12395;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Black Pepper;96-607544;BAGDAT;21618;CONNECTION. GLASS BLACK PEPPER 50 GR*6*
12396;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Chili Flakes;96-923144;BAGDAT;21619;BAGHDAD ISOT PEPPER 250 GR
12397;Food;8125199;Pastry-Sweets;18-1122731112;Cake Ingredients;47-2011616;Baking Powder & Vanilla Sugar;101-60752390;BAGDAT;21620;CONNECTION. POS. BAKING SODA 97 G *15*
12398;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Other Spices;96-65752375;BAGDAT;21621;CONNECTION. PET FLAXSEED 150 GR *12*
12399;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Mint;96-27272423;BAGDAT;21622;CONNECTION. POS. MINT 30 GR *15*
12400;Cold Beverages;221882514;Non-Carbonated Drink;13-702343101;Fruit Juice;27-1662827;Mixtures;178-607510160;PINAR;21623;PINAR MEY. WATER 1/5 MEDITERRANEAN 6 LI
12401;Cold Beverages;221882514;Non-Carbonated Drink;13-702343101;Fruit Juice;27-1662827;Mixtures;178-607510160;PINAR;21624;PINAR M.SUYU 200 ML X 6 PCS CARROTS&LIM.*4*
12402;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Cheeses;59-2062817;White Cheeses;121-4432429;PINAR;21625;PINAR CHEESE 180 GR WHITE *12*
12403;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Milk;59-22252499;Plain;80-101652423;PINAR;21626;PINAR MILK 1000 ML SEMI-SKIMMED *12*
12404;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Milk;59-22252499;Fruity;122-61992429;PINAR;21627;PINAR MILK 500 ML PROTEIN VANILLA *12*
12405;Meat-Chicken;62430241;Processed Meat;16-291013124;Sausage (Sucuk);33-2225325;Beef Sucuk;60-6527166112;NERGIS;21628;NARCISSUS SAUSAGE FERMENTED TOAST KG
12406;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Gift Candy;165-29616024;KENT;21629;MR. DRY. KENT NAR TAT KG
12407;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Eggplant;156-92972923;PATLICAN;21640;POTATO- 2
12408;Food;8125199;Biscuits-Snacks;18-42910160;Nuts;41-14252528;Other Nuts;84-657511299;NEFISO;21641;NEF.23.HAZELNUT RAW 1 KG
12409;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Vinegar-Salad Dressings;44-22122114;Lemon Sauce;93-316127101;FERSAN;21643;FERSAN LEMON JUICE 500 ML *12*
12410;Detergent;5624621;Laundry Washing;14-38236123;Powder Detergents;30-24182999;Normal;48-27752331;RINSO;21644;RINSO MATIK 1500 GR MEDITERRANEAN BAH.
12411;Detergent;5624621;Laundry Washing;14-38236123;Powder Detergents;30-24182999;Normal;48-27752331;RINSO;21645;RINSO MATIK 10 KG COUNTRY GARDEN*1*
12412;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Hair Conditioners;32-101606175;DOVE;21646;DOVE HAIR KR.400 ML CAP. AGAINST.*18*
12413;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21647;GEZER NEO CLASSIC ROLLER 6254000
12414;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21648;GEZER P.ARASI GIRL FILET SLIPPERS
12415;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21649;TRAVELING FOCUS ROLLER 6307
12416;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21650;GEZER MODA CLASSIC ZENNE 6325000
12417;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21651;GEZER 6375.00.0 STYLE EVA WAITER SLIPPERS *16*
12418;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21652;TRAVELING SLIPPERS ROLLER COLL.6431
12419;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21653;TRAVEL SHOES BOOTIES PANDOF 1344
12420;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21654;GEZER SLIPPERS ZENNE SHAVED 6520000
12421;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21655;GEZER ZENNE SLIPPERS*12-6659.00.0
12422;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21656;GEZER LAS. KOP. EVA BABY SLIPPERS*16 -6744.00.0
12423;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21657;GEZER SINGLE VELCRO LEVEL.6761.00
12424;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21658;TRAVELING PLAID BELT ROLLER 6765
12425;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21659;GEZER THREE-FLOWERED ZENNE SLIPPERS*12-6842.00.0
12426;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21660;TRAVELING SLIPPERS CLASSIC ROLLER
12427;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21661;GEZER AIRBLOW PVC MERD. SLIPPERS 6919
12428;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;21662;TRAVELING SLIPPER ROLLER
12429;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21663;PENSAN NEON GEL
12430;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21664;PENSAN VIP JUN. VERSATILE 0.5
12431;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21665;PENSAN GLITTER-GEL GLITTER PEN TRN.
12432;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21666;PENSAN CLUB BALLPOINT PEN
12433;Meat-Chicken;62430241;Processed Meat;16-291013124;Sausage;33-22182212;Beef Sausage;59-652716690;NAMET;21668;NAMET BEEF SAUSAGE 260GR*6*
12434;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21669;TOY SENOS MEAT DOLL
12435;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;21672;MIRA SAÇLI BABY IS LOUD
12436;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21673;KOMEX A4 60 YP UNLINED NOTEBOOK
12437;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;BAYRAK;21677;FLAG 112 ATHLETE ÇITÇIT BADI
12438;Baby;262614;Clothing;12-70299929;Baby Clothing;23-2626;Set;36-97606129;KOZA;21678;KOZA 10726 JUNIOR TEAM 5
12439;Home;627999999;Textile-Clothing-Accessories;12-972460101;Socks;25-318211;Women’s Socks;38-4992738;ESSE;21685;ESSE COTTON PANTS
12440;Cold Beverages;221882514;Carbonated Drink;30-70234331;Mineral Water;83-16156;Fruity;122-61992429;FRESA;21689;FRESA SODA 200 ML C PLUS MANDARIN *24*
12441;Cold Beverages;221882514;Carbonated Drink;30-70234331;Mineral Water;83-16156;Fruity;122-61992429;FRESA;21690;FRESA SODA 200 ML WATERMELON STRAWBERRY *24*
12442;Cigarettes;22128121;Cigarettes;29-101297023;Cigarettes;82-221281;Foreign Cigarettes;171-992716670;MONTE CARLO;21693;NON-MONTE CARLO NIGHT BLUE *10*
12443;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21694;RIO PATTERN BLOCKS
12444;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21695;RIO WETTING SPONGE
12445;Cigarettes;22128121;Cigarettes;29-101297023;Cigarettes;82-221281;Local Cigarettes;171-99292975;KENT;21696;SMOKING KENT DRANGE GREY LONG
12446;Cleaning;246161229;Household Items;15-2411716670;Plastic Household Items;86-6279920;Plastic;73-92239760;BOBBY LIFE;21697;HB. LF 021101 5.0 LT DIKD. MLTI BOX
12447;Cleaning;246161229;Household Items;15-2411716670;Plastic Household Items;86-6279920;Plastic;73-92239760;BOBBY LIFE;21698;HB. LF 021100 3.0 LT DIKD. MLTI BOX
12448;Cleaning;246161229;Household Items;15-2411716670;Plastic Household Items;86-6279920;Plastic;73-92239760;BOBBY LIFE;21699;HB. LF 031175 2 NO SEF. BAD. YUV.
12449;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21700;ABKA 25X35 PROJECT BAG
12450;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21701;ABKA PROJECT BAG 25X35
12451;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21704;TICON SCHOOL SCISSORS
12452;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21705;KIRTA. TEMAT STICK YAPS.20GR
12453;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21706;TEMAT PERFARATOR 8 CM
12454;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;21707;TICON SPRING SCISSORS
12455;Home;627999999;Electric-Electronic;17-24312460;Electronics;35-6152112;Electronic Devices;63-249727166;PREMIER;21722;PREMIER COFFEE GRINDER
12456;Home;627999999;Electric-Electronic;17-24312460;Electronics;35-6152112;Electronic Devices;63-249727166;PREMIER;21723;PRIME 7101 SHEET KUR. MACHINE
12457;Home;627999999;Electric-Electronic;17-24312460;Electronics;35-6152112;Electronic Devices;63-249727166;PREMIER;21724;PREMIER FLY REPELLENT
